timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779274345,26,0,25,1,0,0,11,4,14,0,0,0,5
1779274350,157,0,150,0,0,0,77,3,74,3,0,0,5
1779274355,195,1,193,1,0,1,96,5,98,0,0,0,5
1779274360,204,6,197,1,0,6,99,5,98,0,0,0,5
1779274365,182,0,181,1,0,0,89,4,92,0,0,0,5
1779274370,81,0,63,0,0,0,27,5,24,1,0,0,5
1779274375,115,0,111,2,0,0,55,5,56,0,0,0,5
1779274380,243,1,236,1,0,1,118,6,118,2,0,0,5
1779274385,236,2,233,1,0,2,118,5,116,0,0,0,5
1779274390,138,3,131,1,0,3,66,5,66,1,0,0,5
1779274395,167,0,150,0,0,0,70,4,70,0,0,0,5
1779274400,200,1,195,1,0,1,97,6,96,0,0,0,5
1779274405,206,0,203,1,0,0,101,4,102,1,0,0,5
1779274410,175,1,169,1,0,1,86,5,84,2,0,0,5
1779274415,125,0,121,0,0,0,60,4,60,0,0,0,5
1779274420,164,2,144,1,0,2,73,6,72,0,0,0,5
1779274425,183,1,173,1,0,1,88,5,86,1,0,0,5
1779274430,98,2,94,0,0,2,48,6,46,0,0,0,5
1779274435,5,1,2,0,0,1,2,3,2,0,0,0,5
1779274440,87,0,79,3,0,0,39,4,40,2,0,0,5
1779274445,194,0,191,1,0,0,95,4,96,1,0,0,5
1779274450,225,2,221,1,0,2,112,5,110,0,0,0,5
1779274455,182,0,181,1,0,0,88,4,92,0,0,0,5
1779274460,143,1,142,0,0,1,73,4,70,0,0,0,5
1779274465,21,1,16,0,0,1,10,4,8,2,0,0,5
1779274470,173,1,169,1,0,1,85,5,85,1,0,0,5
1779274475,188,0,187,1,0,0,93,4,94,0,0,0,5
1779274480,186,1,168,1,0,1,79,7,78,0,0,0,5
1779274485,5,0,1,0,0,0,1,1,0,1,0,0,5
1779274490,6,1,3,0,0,1,3,3,0,0,0,0,5
1779274495,1,0,0,0,0,0,0,0,0,0,0,0,5
1779274500,2,0,0,0,0,0,0,0,0,0,0,0,5
1779274505,2,2,0,0,0,2,1,1,0,0,0,0,5
1779274510,12,2,1,0,0,2,2,2,0,0,0,0,5
1779274530,59,0,55,0,0,0,27,4,28,1,0,0,5
1779274535,168,0,162,0,0,0,81,3,82,3,0,0,5
1779274540,191,1,189,1,0,1,97,5,94,0,0,0,5
1779274545,149,0,143,1,0,0,70,5,72,0,0,0,5
1779274550,122,1,110,1,0,1,52,7,50,0,0,0,5
1779274555,6,0,3,0,0,0,2,3,2,0,0,0,5
1779274560,26,2,17,2,0,2,11,5,8,1,0,0,5
1779274565,106,0,100,0,0,0,51,3,50,3,0,0,5
1779274570,95,4,73,0,0,4,33,4,26,0,0,0,5
1779274580,126,2,121,1,0,2,60,5,62,0,0,0,5
1779274585,235,8,223,1,0,8,112,5,112,1,0,0,5
1779274590,169,2,166,1,0,2,85,6,82,0,0,0,5
1779274595,120,2,112,0,0,2,58,4,56,3,0,0,5
1779274600,150,1,147,1,0,1,74,5,74,0,0,0,5
1779274605,140,0,136,1,0,0,68,5,68,1,0,0,5
1779274610,71,1,68,0,0,1,34,5,34,0,0,0,5
1779274615,4,0,2,0,0,0,1,2,2,0,0,0,5
1779274620,21,1,14,2,0,1,10,4,6,1,0,0,5
1779274625,176,0,169,1,0,0,83,4,86,3,0,0,5
1779274630,206,1,203,1,0,1,102,5,102,0,0,0,5
1779274635,205,9,191,1,2,7,95,5,96,0,0,0,5
1779274640,167,3,152,1,0,3,75,6,72,0,0,0,5
1779274645,139,2,124,0,0,2,61,5,60,1,0,0,5
1779274650,207,1,203,1,0,1,102,6,100,0,0,0,5
1779274655,178,0,175,1,0,0,87,4,88,1,0,0,5
1779274660,157,1,138,1,0,1,63,6,64,0,0,0,5
1779274665,97,1,90,0,0,1,47,5,44,2,0,0,5
1779274670,92,1,90,0,0,1,47,5,44,0,0,0,5
1779274675,9,0,2,0,0,0,1,2,2,1,0,0,5
1779274680,3,1,2,0,0,1,2,3,2,0,0,0,5
1779274685,151,3,143,3,0,3,74,5,70,1,0,0,5
1779274690,150,2,141,1,0,2,70,5,72,2,0,0,5
1779274695,224,0,209,1,0,0,104,5,104,0,0,0,5
1779274700,79,0,59,0,0,0,29,5,26,0,0,0,5
1779274705,10,0,3,0,0,0,2,2,1,0,0,0,5
1779274710,14,1,4,0,0,1,3,2,1,0,0,0,5
1779274715,12,0,6,0,0,0,3,3,1,0,0,0,5
1779274720,16,2,1,0,0,2,2,2,1,0,0,0,5
1779274725,5,1,1,0,0,1,2,2,1,0,0,0,5
15:29:20,0,0,0,0,0,0,0,0,0,0,0,0,5
15:34:30,1,0,1,0,0,0,1,1,1,0,0,0,5
15:35:30,1,0,1,0,0,0,1,1,1,0,0,0,5
15:35:50,1,0,1,0,0,0,1,1,1,0,0,0,5
15:37:25,7,0,7,0,0,0,1,1,7,0,0,0,5
15:37:30,93,0,93,0,0,0,1,1,93,0,0,0,5
15:37:55,25,0,25,0,0,0,1,1,25,0,0,0,5
15:38:00,31,0,31,0,0,0,1,1,31,0,0,0,5
15:38:05,35,0,35,0,0,0,1,1,35,0,0,0,5
15:38:10,9,0,9,0,0,0,1,1,9,0,0,0,5
15:38:20,31,0,31,0,0,0,1,1,31,0,0,0,5
15:38:25,19,0,19,0,0,0,1,1,19,0,0,0,5
16:00:15,0,0,0,0,0,0,0,0,0,0,0,0,5
19:40:15,0,0,0,0,0,0,0,0,0,0,0,0,5
19:46:50,0,0,0,0,0,0,0,0,0,0,0,0,5
19:49:10,1,0,1,0,0,0,1,1,1,0,0,0,5
19:49:35,1,0,1,0,0,0,1,1,1,0,0,0,5
19:49:50,1,0,1,0,0,0,1,1,1,0,0,0,5
19:50:50,1,0,1,0,0,0,1,1,1,0,0,0,5
19:50:55,1,0,1,0,0,0,1,1,1,0,0,0,5
19:51:00,18,0,18,0,0,0,1,1,18,0,0,0,5
19:51:05,36,0,36,0,0,0,1,1,36,0,0,0,5
19:51:10,19,0,19,0,0,0,1,1,19,0,0,0,5
19:51:15,24,0,24,0,0,0,1,1,24,0,0,0,5
19:51:20,20,0,20,0,0,0,1,1,20,0,0,0,5
19:51:25,8,0,8,0,0,0,1,1,8,0,0,0,5
19:51:30,41,0,41,0,0,0,1,1,41,0,0,0,5
19:51:35,55,0,55,0,0,0,1,1,55,0,0,0,5
19:51:40,41,0,41,0,0,0,1,1,41,0,0,0,5
19:51:45,12,0,12,0,0,0,1,1,12,0,0,0,5
19:51:55,10,0,10,0,0,0,1,1,10,0,0,0,5
19:52:00,10,0,10,0,0,0,1,1,10,0,0,0,5
19:52:25,6,0,6,0,0,0,1,1,6,0,0,0,5
19:52:30,37,0,37,0,0,0,1,1,37,0,0,0,5
19:52:35,48,0,48,0,0,0,1,1,48,0,0,0,5
19:52:40,48,0,48,0,0,0,1,1,48,0,0,0,5
19:52:45,45,0,45,0,0,0,1,1,45,0,0,0,5
19:52:50,12,0,12,0,0,0,1,1,12,0,0,0,5
19:52:55,27,0,27,0,0,0,1,1,27,0,0,0,5
19:53:00,58,0,58,0,0,0,1,1,58,0,0,0,5
19:53:05,57,0,57,0,0,0,1,1,57,0,0,0,5
19:53:10,33,0,33,0,0,0,1,1,33,0,0,0,5
19:53:15,34,0,34,0,0,0,1,1,34,0,0,0,5
19:53:20,47,0,47,0,0,0,1,1,47,0,0,0,5
19:53:25,50,0,50,0,0,0,1,1,50,0,0,0,5
19:53:30,41,0,41,0,0,0,1,1,41,0,0,0,5
